"","areaName","Borough","X2019.01","X2019.02","X2019.03","X2019.04","X2019.05","X2019.06","X2019.07","X2019.08","X2019.09","X2019.10","X2019.11","X2019.12","X2020.01","X2020.02","X2020.03","X2020.04","X2020.05","X2020.06","X2020.07","X2020.08","X2020.09","X2020.10","X2020.11","X2020.12","X2021.01","X2021.02","X2021.03","X2021.04","X2021.05","X2021.06","X2021.07","X2021.08","X2021.09","X2021.10","X2021.11","X2021.12"
"173","Staten Island","Staten Island",1856,1850,1890,1875,2050,2050,2000,2045,2200,2200,2200,2000,1952,1998,2123,1831,1831,2025,1875,1819,1850,1950,1973,2200,1900,1900,1850,1975,1900,1825,1800,2000,2025,2131,2000,2070
"174","Stuyvesant Town/PCV","Manhattan",4127,3690,3655,3887,3910,3792,3881,3881,3885,3880,3885,3753,3869,4131,3908,3980,3945,3910,3902,3786,3770,3885,3785,3872,4235,3698,3677,3688,3565,3650,3982,4009,4174,4435,4768,4685
"175","Sunnyside","Queens",1950,1938,1975,1995,1950,1950,1995,2050,2066,2100,2050,2075,2000,2000,2100,2100,2100,2000,2000,1999,1995,1900,1800,1825,1850,1795,1800,1800,1800,1800,1900,1930,1950,2050,2025,2050
"176","Sunset Park","Brooklyn",1985,1900,2000,2000,2150,2150,2199,2133,2000,2099,2100,2100,2100,2100,2100,2062,2050,2000,2099,2017,1950,1900,1900,1900,1875,1799,1850,1873,2000,1950,2000,1995,2000,2000,1999,2000
"177","The Rockaways","Queens",1900,1900,1850,1997,1895,2050,2050,2065,1999,2000,1997,2000,1942,1800,1800,1800,1998,1825,1925,1924,1868,1900,1900,2050,1912,1912,1750,1900,2017,2050,2000,2200,2209,2200,2075,1973
"179","Tremont","Bronx",1650,1675,1600,1650,1650,1650,1799,1799,1799,1610,1550,1550,1912,1912,1924,1696,1649,1738,1676,1650,1625,1725,1649,1649,1550,1550,1638,1638,1495,1598,1773,1738,1738,1795,1767,1750
"180","Tribeca","Manhattan",6562,5975,6110,6325,6500,6595,7000,6698,7620,7610,7350,7500,7098,7048,6798,6450,6750,7000,6925,6895,6595,6848,6588,6794,6450,5795,5495,5600,5895,6495,6500,6800,8000,7715,7500,8595
"181","University Heights","Bronx",1578,1750,1799,1800,1799,1850,1650,1625,1799,1799,1699,1699,1749,1699,1799,1616,1643,1650,1650,1650,1624,1787,1675,1699,1671,1692,1749,1692,1899,1899,1700,1800,1699,1799,1650,1799
"182","Upper East Side","Manhattan",3000,3000,2995,2990,3000,3050,3050,2995,3000,3100,3208,3295,3275,3250,3250,3150,3050,2950,2800,2700,2650,2500,2495,2499,2450,2450,2400,2400,2455,2495,2550,2700,2850,2925,3200,3300
"183","Upper West Side","Manhattan",3395,3350,3381,3450,3450,3450,3400,3500,3600,3600,3615,3536,3600,3550,3500,3400,3295,3200,3124,3000,2912,2800,2800,2800,2795,2818,2800,2839,2999,3000,3180,3274,3511,3607,3800,3976
"187","Washington Heights","Manhattan",2150,2200,2195,2173,2250,2300,2250,2250,2200,2200,2195,2200,2225,2250,2295,2250,2195,2250,2208,2195,2100,2096,2100,2000,2000,2000,2000,2050,2100,2129,2185,2200,2200,2200,2200,2250
"188","West Harlem","Manhattan",2400,2362,2475,2543,2400,2685,2700,2600,2413,2450,2500,2495,2495,2589,2600,2500,2582,2540,2520,2295,2295,2295,2295,2250,2293,2290,2289,2300,2350,2298,2300,2500,2400,2300,2400,2425
"189","West Village","Manhattan",3850,3800,3823,3965,4095,4250,4150,3995,3995,4100,4095,4125,4195,4102,4175,4100,3695,3607,3596,3450,3300,3208,3200,3100,3000,3175,3068,3245,3395,3500,3850,4195,4395,4425,4362,4463
"193","Williamsburg","Brooklyn",2986,3000,3000,3200,3299,3300,3435,3426,3500,3500,3600,3600,3500,3499,3495,3495,3300,3199,3150,3000,2900,2833,2800,2800,2778,2800,2800,2800,2850,3075,3400,3654,3800,3650,3750,3895
"194","Windsor Terrace","Brooklyn",2600,2795,2750,2575,2650,2800,2500,2800,2800,2800,2495,2500,2500,2500,2677,2695,2590,2800,2717,2673,2645,2590,2750,2750,2750,2500,2700,2500,2200,2400,2650,2400,2600,2500,3000,2800
"195","Woodhaven","Queens",1746,1875,1950,1800,1750,1725,1750,1788,1788,1745,1800,1725,1800,1850,1850,1850,1850,1773,1838,2100,2000,1838,1923,2100,2000,1725,1713,2350,2350,1700,1697,1750,2350,2200,2300,2350
"197","Woodside","Queens",1850,1850,1900,1875,1995,1975,2000,1900,1900,1895,2025,2100,1950,2098,2200,1850,1840,1925,1850,1950,1850,1850,1850,1800,1775,1798,1750,1750,1750,1797,1800,1885,2000,1925,1875,1850
