DBN,School Name,# Total Students,# Students in Temporary Housing,% Students in Temporary Housing,# Students Residing in Shelter,# Residing in DHS Shelter,# Residing in Non-DHS Shelter,# Doubled Up
24Q113,P.S./I.S. 113 Anthony J. Pranzo,899,26,2.9%,s,s,s,25
24Q119,I.S. 119 The Glendale,1303,42,3.2%,s,s,s,36
24Q125,I.S. 125 Thom J. McCann Woodside,1547,164,10.6%,16,s,s,148
24Q128,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elemen",963,13,1.3%,s,s,s,11
24Q143,P.S. 143 Louis Armstrong,1410,140,9.9%,22,s,s,117
24Q153,P.S. 153 Maspeth Elem,1150,25,2.2%,s,s,s,21
24Q199,P.S. 199 Maurice A. Fitzgerald,847,107,12.6%,48,s,s,59
24Q211,Elm Tree Elementary School,547,185,33.8%,s,s,s,182
24Q229,P.S. 229 Emanuel Kaplan,1457,89,6.1%,34,28,6,55
24Q236,International High School for Health Sciences,307,88,28.7%,6,s,s,80
24Q239,P.S. 239,555,111,20.0%,10,s,s,99
24Q264,Academy of Finance and Enterprise,652,33,5.1%,6,s,s,26
24Q267,High School of Applied Communication,412,11,2.7%,s,s,s,6
24Q290,A.C.E. Academy for Scholars at the Geraldine Ferra,595,21,3.5%,s,s,s,18
24Q293,Civic Leadership Academy,596,28,4.7%,7,s,s,21
24Q296,Pan American International High School,497,90,18.1%,6,s,s,83
24Q305,Learners and Leaders,604,91,15.1%,s,s,s,88
24Q307,Pioneer Academy,925,90,9.7%,7,s,s,83
24Q311,Corona Arts & Sciences Academy,794,63,7.9%,s,s,s,61
24Q330,Helen M. Marshall School,582,147,25.3%,6,s,s,137
24Q331,Mosaic Pre-K Center,1002,42,4.2%,8,s,s,33
24Q343,The Children's Lab School,434,23,5.3%,7,s,s,16
24Q444,Home Schooling,289,13,4.5%,7,s,s,6
24Q455,Newtown High School,1858,169,9.1%,30,17,13,136
24Q457,H.S. Arts & Business Yabc,226,9,4.0%,s,s,s,8
24Q485,Grover Cleveland High School,1780,142,8.0%,16,s,s,124
24Q520,Middle College High School at LaGuardia Community,520,10,1.9%,s,s,s,10
24Q530,International High School at LaGuardia Community C,537,78,14.5%,s,s,s,72
24Q550,High School for Arts and Business,785,32,4.1%,11,s,s,21
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts an",658,19,2.9%,s,s,s,14
24Q585,Maspeth High School,1220,25,2.0%,8,s,s,17
24Q600,Queens Technical High School,1490,42,2.8%,s,s,s,37
24Q610,Aviation Career & Technical Education High School,2103,33,1.6%,s,s,s,30
24Q700,Universal Pre-K C.B.O.,2297,140,6.1%,24,s,s,112
24Q744,VOYAGES Preparatory,222,6,2.7%,s,s,s,s
25Q020,P.S. 020 John Bowne,1271,80,6.3%,19,s,s,61
25Q021,P.S. 021 Edward Hart,1388,234,16.9%,s,s,s,228
25Q022,P.S. 022 Thomas Jefferson,928,50,5.4%,s,s,s,50
25Q024,P.S. 024 Andrew Jackson,1124,120,10.7%,s,s,s,120
25Q025,I.S. 025 Adrien Block,1084,35,3.2%,s,s,s,31
25Q029,P.S. 029 Queens,729,46,6.3%,7,s,s,39
25Q032,P.S. 032 State Street,1015,32,3.2%,s,s,s,32
25Q079,P.S. 079 Francis Lewis,1124,32,2.8%,s,s,s,30
25Q107,P.S. 107 Thomas A Dooley,971,85,8.8%,s,s,s,81
25Q120,P.S. 120 Queens,990,12,1.2%,s,s,s,12
25Q129,P.S. 129 Patricia Larkin,1144,66,5.8%,s,s,s,65
25Q154,P.S. 154 Queens,702,20,2.8%,s,s,s,16
25Q163,P.S. 163 Flushing Heights,833,10,1.2%,s,s,s,10
25Q164,P.S. 164 Queens Valley,699,26,3.7%,s,s,s,22
25Q165,P.S. 165 Edith K. Bergtraum,791,68,8.6%,13,s,s,53
25Q184,P.S. 184 Flushing Manor,536,33,6.2%,s,s,s,32
25Q185,J.H.S. 185 Edward Bleeker,1554,88,5.7%,7,s,s,81
25Q189,J.H.S. 189 Daniel Carter Beard,788,47,6.0%,s,s,s,44
25Q194,J.H.S. 194 William Carr,1310,55,4.2%,s,s,s,51
25Q200,P.S./M.S. 200 - The Magnet School of Global Studie,541,29,5.4%,12,s,s,16
25Q201,P.S. 201 The Discovery School for Inquiry and Rese,509,35,6.9%,22,s,s,11
25Q209,P.S. 209 Clearview Gardens,566,7,1.2%,s,s,s,s
25Q214,P.S. 214 Cadwallader Colden,467,16,3.4%,s,s,s,14
25Q219,P.S. 219 Paul Klapper,647,74,11.4%,s,s,s,70
25Q237,I.S. 237,1429,59,4.1%,8,s,s,48
25Q240,Veritas Academy,587,36,6.1%,s,s,s,31
25Q241,Queens High School for Language Studies,440,10,2.3%,s,s,s,8
25Q250,I.S. 250 The Robert F. Kennedy Community Middle Sc,389,36,9.3%,6,s,s,27
25Q252,"Queens School of Inquiry, The",601,13,2.2%,s,s,s,10
25Q263,Flushing International High School,451,87,19.3%,s,s,s,76
25Q285,World Journalism Preparatory: A College Board Scho,588,19,3.2%,s,s,s,19
25Q379,College Point Collaborative,159,8,5.0%,s,s,s,7
25Q409,District 25 PRE-K Center,238,6,2.5%,s,s,s,6
25Q425,John Bowne High School,3661,187,5.1%,29,21,8,146
25Q444,Home Schooling,235,7,3.0%,s,s,s,7
25Q460,Flushing High School,1683,173,10.3%,20,12,8,149
