modzcta,BOROUGH_GROUP,modzcta_name,label,lat,lon,positive_count_7day,positivity_rate_7day,people_tested,daterange,death_count_28day,death_rate_28day,daterange,cumulative_positive_count,cumulative_death_count,cumulative_positive_rate,TOTAL_COVID_TESTS
10464,Bronx,City Island,10464,40.872311,-73.804653,9,7.89,114,February 5-February 11,0,0,January 4-January 31,974,17,20.51,3774
10465,Bronx,Country Club/Throgs Neck,10465,40.823931,-73.822886,25,2.45,1019,February 5-February 11,26,60.3,January 4-January 31,12582,225,25.5,39011
10466,Bronx,Edenwald/Wakefield,10466,40.890965,-73.845912,33,1.86,1773,February 5-February 11,28,39.3,January 4-January 31,17320,306,22.83,63033
10467,Bronx,Allerton/Norwood/Pelham Parkway/Williamsbridge,10467,40.880939,-73.873956,49,1.6,3055,February 5-February 11,37,36.3,January 4-January 31,28721,612,24.53,95389
10468,Bronx,Fordham/Kingsbridge/University Heights,10468,40.868161,-73.899844,43,1.93,2232,February 5-February 11,28,36,January 4-January 31,21248,372,24.53,71925
10469,Bronx,Allerton/Baychester/Pelham Gardens/Williamsbridge,10469,40.86876,-73.846984,39,2.22,1753,February 5-February 11,34,46.8,January 4-January 31,17999,576,22.8,64532
10470,Bronx,Wakefield/Woodlawn,10470,40.895986,-73.86802,8,1.81,443,February 5-February 11,5,33.4,January 4-January 31,4062,57,22.45,14029
10471,Bronx,Fieldston/North Riverdale/Riverdale,10471,40.899509,-73.901518,25,3.53,709,February 5-February 11,10,47.1,January 4-January 31,5176,152,18.65,22688
10472,Bronx,Soundview,10472,40.829561,-73.869393,31,1.64,1892,February 5-February 11,15,22.1,January 4-January 31,18847,340,23.91,63436
10473,Bronx,Castle Hill/Clason Point/Soundview,10473,40.818135,-73.858718,27,1.36,1981,February 5-February 11,18,30.5,January 4-January 31,17856,294,25.53,57454
10474,Bronx,Hunts Point,10474,40.810595,-73.884618,4,1.36,294,February 5-February 11,0,0,January 4-January 31,3034,46,22.66,10490
10475,Bronx,Co-op City/Edenwald,10475,40.868941,-73.824854,29,2.8,1037,February 5-February 11,28,65.5,January 4-January 31,10391,322,21.86,36401
11004,Queens,Bellerose/Douglaston-Little Neck,"11004, 11005",40.748068,-73.710907,15,3.86,389,February 5-February 11,12,63.3,January 4-January 31,3695,133,18.27,18263
11101,Queens,Astoria (South)/Long Island City/Sunnyside,11101,40.747077,-73.938586,44,2.68,1643,February 5-February 11,14,38,January 4-January 31,10681,107,17.28,48768
11102,Queens,Astoria (North),11102,40.772498,-73.925912,26,2.41,1077,February 5-February 11,12,39.9,January 4-January 31,8868,184,21.37,32650
11103,Queens,Astoria (North)/Astoria (South),11103,40.762536,-73.913541,24,2.33,1031,February 5-February 11,15,42.9,January 4-January 31,10750,130,22.96,36896
