SITE ID,STATUS,PPT ID,ADDRESS,BOROUGH,LATITUDE,LONGITUDE,WIFI STATUS,TABLET STATUS,PHONE STATUS,CROSS STREET 1,CROSS STREET 2,CORNER LOCATION,COMMUNITY BOARD,COUNCIL DISTRICT,CENSUS TRACT,NTA,BBL,BIN,LOCATION,POSTCODE,PPT ID
bk-01-146047,Live,146047,1 TEN EYCK STREET,Brooklyn,40.70957163,-73.95070637,up,up,up,UNION AVENUE,LORIMER STREET,NE,301,34,3051300,North Side-South Side,3027910001,3069651,"(40.70957163, -73.95070637)",11206,146047
bk-01-146050,Live,146050,2 POWERS STREET,Brooklyn,40.71166636,-73.95102615,up,up,up,UNION AVENUE,LORIMER STREET,SE,301,34,3051300,North Side-South Side,3027790004,3323015,"(40.71166636, -73.95102615)",11211,146050
bk-01-146073,Live,146073,153 NORTH 8 STREET,Brooklyn,40.71851349,-73.95723131,up,up,up,BEDFORD AVENUE,BERRY STREET,NE,301,33,3051700,North Side-South Side,3023110030,3061793,"(40.71851349, -73.95723131)",11249,146073
bk-01-146081,Live,146081,458 UNION AVENUE,Brooklyn,40.71419088,-73.95155241,up,up,up,CONSELYEA STREET,METROPOLITAN AVENUE,NE,301,34,3050100,East Williamsburg,3027560001,3068630,"(40.71419088, -73.95155241)",11211,146081
bk-01-146085,Live,146085,33 SOUTH 2 STREET,Brooklyn,40.71470734,-73.96652497,up,up,up,KENT AVENUE,WYTHE AVENUE,NE,301,33,3055100,North Side-South Side,3024030001,3062886,"(40.71470734, -73.96652497)",11249,146085
bk-01-146091,Live,146091,178 BROADWAY,Brooklyn,40.7099,-73.96244,up,up,up,DRIGGS AVENUE,BEDFORD AVENUE,SW,301,34,3054900,North Side-South Side,3021320021,3335296,"(40.7099, -73.96244)",11211,146091
bk-01-146092,Live,146092,361 BROADWAY,Brooklyn,40.707581,-73.95531649,up,up,up,KEAP STREET,HOOPER STREET,NE,301,34,3052700,North Side-South Side,3024630040,3331238,"(40.707581, -73.95531649)",11211,146092
bk-01-146093,Live,146093,394 KENT AVENUE,Brooklyn,40.71098811,-73.96853381,up,up,up,BROADWAY,SOUTH 6 STREET,NW,301,33,3054900,North Side-South Side,3024670001,3063635,"(40.71098811, -73.96853381)",11249,146093
bk-02-108350,Live,108350,36 NEVINS STREET,Brooklyn,40.68745727,-73.98192018,up,up,up,LIVINGSTON STREET,SCHERMERHORN STREET,NW,302,33,3003700,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3001660040,3000000,"(40.68745727, -73.98192018)",11217,108350
bk-02-108355,Live,108355,98 BOND STREET,Brooklyn,40.68681157,-73.98496961,up,up,up,ATLANTIC AVENUE,PACIFIC STREET,SW,302,33,3004100,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3001837501,3255607,"(40.68681157, -73.98496961)",11217,108355
bk-02-125681,Live,125681,60 HENRY STREET,Brooklyn,40.69934194,-73.99218679,up,up,up,CRANBERRY STREET,ORANGE STREET,SW,302,33,3000100,Brooklyn Heights-Cobble Hill,3002210020,3001646,"(40.69934194, -73.99218679)",11201,125681
bk-02-125682,Live,125682,106 HENRY STREET,Brooklyn,40.69758777,-73.99302857,up,up,up,CLARK STREET,PINEAPPLE STREET,NW,302,33,3000501,Brooklyn Heights-Cobble Hill,3002310001,3335928,"(40.69758777, -73.99302857)",11201,125682
bk-02-125833,Live,125833,46 3 AVENUE,Brooklyn,40.68521833,-73.98086659,up,down,up,ATLANTIC AVENUE,PACIFIC STREET,SW,302,33,3003900,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3001850025,3000981,"(40.68521833, -73.98086659)",11217,125833
bk-02-126016,Live,126016,91 HOYT STREET,Brooklyn,40.68760943,-73.98698898,up,down,up,ATLANTIC AVENUE,PACIFIC STREET,SW,302,33,3004100,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3001830007,3000872,"(40.68760942966523, -73.98698898483407)",11217,126016
bk-02-126166,Live,126166,185 COURT STREET,Brooklyn,40.6879008,-73.99314691,up,up,up,BERGEN STREET,DEAN STREET,SE,302,33,3004300,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3002800015,3002846,"(40.6879008, -73.99314691)",11201,126166
bk-02-126247,Live,126247,280 CADMAN PLAZA WEST,Brooklyn,40.69607044,-73.99126379,up,up,up,CLINTON STREET,PIERREPONT STREET,SW,302,33,3000502,Brooklyn Heights-Cobble Hill,3002390016,3001939,"(40.69607044, -73.99126379)",11201,126247
bk-02-126433,Live,126433,395 FLATBUSH AVENUE EXTENSION,Brooklyn,40.689026,-73.980862,up,up,up,FULTON STREET,DEKALB AVENUE,NE,302,35,3003300,Fort Greene,3020930001,3058594,"(40.689026, -73.980862)",11201,126433
bk-02-126505,Live,126505,171 FLATBUSH AVENUE,Brooklyn,40.683625,-73.977006,up,up,up,ATLANTIC AVENUE,PACIFIC STREET,SE,302,35,3012901,Park Slope-Gowanus,3020017501,3348849,"(40.683625, -73.977006)",11217,126505
bk-02-126506,Live,126506,339 LIVINGSTON STREET,Brooklyn,40.68764898,-73.98042355,up,up,up,FLATBUSH AVENUE,NEVINS STREET,NW,302,33,3003700,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3001620001,3000483,"(40.68764898, -73.98042355)",11217,126506
bk-02-126565,Live,126565,605 FULTON STREET,Brooklyn,40.688851,-73.980613,up,up,up,FLATBUSH AVENUE EXTENSION,HUDSON STREET,NE,302,35,3003300,Fort Greene,3020930001,3058594,"(40.688851, -73.980613)",11201,126565
bk-02-126628,Live,126628,691 FULTON STREET,Brooklyn,40.68788961,-73.97820169,up,up,up,ASHLAND PLACE,ST FELIX STREET,NE,302,35,3003300,Fort Greene,3020960069,3331261,"(40.68788961, -73.97820169)",11217,126628
